destination,destination_type,from_location,state,region,trip_type,transport,season,num_days,budget,accommodation_cost,food_cost,entry_fee,travel_time,rating,total_cost,feasible
Lotus Temple,Spiritual,Jaipur,Delhi,North,Family,Car,Summer,3,13365,5000,1500,0,5.0,4.5,19500,0
Calangute Beach,Beach,Jaipur,Goa,West,Couple,Train,Summer,5,50943,5950,1530,0,4.0,4.4,37400,1
Itanagar,Heritage,Lucknow,Arunachal Pradesh,Northeast,Couple,Train,Spring,5,33111,2720,765,50,18.0,4.0,17475,1
Dzukou Valley,Nature,Delhi,Nagaland,Northeast,Senior,Car,Autumn,10,32712,1820,520,100,22.0,4.8,23500,1
Adilabad,Nature,Pune,Telangana,South,Couple,Train,Summer,8,47865,2380,680,100,4.0,4.1,24580,1
Moirang,Heritage,Delhi,Manipur,Northeast,Solo,Car,Summer,4,9570,1300,400,50,21.0,4.1,6850,1
Barnawapara,Wildlife,Ahmedabad,Chhattisgarh,Central,Family,Bike,Autumn,6,21832,3500,1000,200,9.0,4.2,27200,0
Baratang Island,Nature,Lucknow,Andaman & Nicobar,South,Friends,Bike,Summer,8,88781,4000,1200,0,14.0,4.4,41600,1
Agatti Island,Beach,Ahmedabad,Lakshadweep,South,Family,Train,Summer,4,31463,10000,2250,0,20.0,4.7,49000,0
Moirang,Heritage,Chennai,Manipur,Northeast,Family,Bus,Summer,9,45679,3250,1000,50,21.0,4.1,38300,1
Khanvel,Nature,Pune,Dadra & Nagar Haveli,West,Family,Train,Spring,3,9240,4000,1125,0,4.0,4.2,15375,0
Tashiding,Spiritual,Kolkata,Sikkim,Northeast,Couple,Bus,Summer,5,18598,2550,765,0,13.0,4.3,16575,1
Lonavala,Hill Station,Lucknow,Maharashtra,West,Couple,Bike,Spring,10,94294,3400,1020,0,3.0,4.2,44200,1
Mussoorie,Hill Station,Mumbai,Uttarakhand,North,Couple,Train,Monsoon,10,50918,3740,986,0,7.0,4.3,47260,1
Araku Valley,Nature,Mumbai,Andhra Pradesh,South,Senior,Bike,Spring,7,24230,2080,585,50,9.0,4.4,18705,1
Patiala,Heritage,Hyderabad,Punjab,North,Solo,Train,Winter,9,34718,1500,450,50,4.0,4.2,17600,1
St Paul's Church Diu,Heritage,Mumbai,Daman & Diu,West,Friends,Flight,Winter,7,27668,4000,1100,0,5.0,4.3,35700,0
Tirupati,Spiritual,Hyderabad,Andhra Pradesh,South,Senior,Train,Winter,7,11471,1950,520,300,6.0,4.5,17590,0
Neermahal,Heritage,Chennai,Tripura,Northeast,Couple,Flight,Winter,10,40407,2210,680,100,23.0,4.5,29000,1
Ukhrul,Hill Station,Delhi,Manipur,Northeast,Senior,Flight,Monsoon,10,17160,1690,520,0,22.0,4.2,22100,0
Rameswaram,Spiritual,Chennai,Tamil Nadu,South,Couple,Bus,Spring,6,32637,2720,765,0,9.0,4.5,20910,1
Wokha,Nature,Kolkata,Nagaland,Northeast,Couple,Flight,Summer,9,37342,2210,680,0,22.0,4.1,26010,1
Leh Ladakh,Adventure,Delhi,Ladakh,North,Couple,Flight,Autumn,3,39323,5950,1190,200,20.0,4.8,21620,1
Fatehgarh Sahib,Spiritual,Chennai,Punjab,North,Couple,Train,Winter,10,40902,2040,595,0,4.0,4.3,26350,1
Simlipal National Park,Wildlife,Kolkata,Odisha,East,Senior,Flight,Autumn,8,17618,2600,715,300,9.0,4.5,26820,0
Dibrugarh,Heritage,Pune,Assam,Northeast,Family,Flight,Summer,8,49447,3750,1125,0,17.0,4.0,39000,1
India Gate,Heritage,Jaipur,Delhi,North,Couple,Train,Monsoon,9,51551,3400,1020,0,5.0,4.5,39780,1
Minicoy Island,Beach,Jaipur,Lakshadweep,South,Family,Bike,Spring,4,46079,8750,2000,0,20.0,4.5,43000,1
Hisar,Heritage,Pune,Haryana,North,Solo,Train,Monsoon,5,6875,1300,400,50,3.0,3.9,8550,0
Dumboor Lake,Nature,Pune,Tripura,Northeast,Couple,Bus,Autumn,6,11188,2210,680,0,23.0,4.3,17340,0
St Paul's Church Diu,Heritage,Pune,Daman & Diu,West,Couple,Bike,Summer,4,11898,3400,935,0,5.0,4.3,17340,0
Kaziranga,Wildlife,Pune,Assam,Northeast,Couple,Flight,Autumn,4,33159,5100,1190,500,15.0,4.6,25660,1
Mahabaleshwar,Hill Station,Hyderabad,Maharashtra,West,Couple,Flight,Autumn,10,59976,3740,1020,0,4.0,4.3,47600,1
Bomdila,Hill Station,Lucknow,Arunachal Pradesh,Northeast,Family,Bus,Monsoon,3,5127,3750,1000,0,16.0,4.2,14250,0
Panaji,Heritage,Kolkata,Goa,West,Solo,Train,Winter,3,17693,2500,700,50,4.0,4.3,9650,1
Pelling,Hill Station,Mumbai,Sikkim,Northeast,Friends,Flight,Monsoon,3,6944,3600,1040,50,17.0,4.5,13970,0
Moirang,Heritage,Mumbai,Manipur,Northeast,Solo,Bus,Monsoon,10,18633,1300,400,50,21.0,4.1,17050,1
Chitrakoot,Spiritual,Hyderabad,Uttar Pradesh,North,Senior,Bike,Monsoon,2,3988,1690,520,0,8.0,4.3,4420,0
Horsley Hills,Hill Station,Chennai,Andhra Pradesh,South,Senior,Bus,Winter,9,10938,1950,520,50,7.0,4.1,22280,0
Thanjavur,Heritage,Hyderabad,Tamil Nadu,South,Solo,Bike,Spring,8,22403,1500,450,250,8.0,4.4,15850,1
Roing,Nature,Bangalore,Arunachal Pradesh,Northeast,Friends,Car,Monsoon,9,50157,2800,800,100,22.0,4.2,32500,1
Lepakshi,Heritage,Hyderabad,Andhra Pradesh,South,Couple,Train,Monsoon,5,26222,2040,595,50,4.0,4.3,13225,1
Karimnagar,Heritage,Hyderabad,Telangana,South,Solo,Flight,Autumn,7,17052,1400,400,50,3.0,4.1,12650,1
Khanvel,Nature,Kolkata,Dadra & Nagar Haveli,West,Senior,Bus,Winter,9,9638,2080,585,0,4.0,4.2,23985,0
Sector 17 Chandigarh,City,Chennai,Chandigarh,North,Friends,Bus,Winter,10,70571,4400,1300,0,5.0,4.1,57000,1
Dalhousie,Hill Station,Lucknow,Himachal Pradesh,North,Solo,Flight,Winter,2,3594,1800,500,0,11.0,4.3,4600,0
Chitrakote Falls,Nature,Hyderabad,Chhattisgarh,Central,Friends,Bus,Autumn,4,21987,2400,800,50,12.0,4.4,12850,1
Mudumalai,Wildlife,Mumbai,Tamil Nadu,South,Couple,Train,Spring,6,59752,4250,1105,300,7.0,4.4,32430,1
Kadmat Island,Beach,Hyderabad,Lakshadweep,South,Friends,Flight,Autumn,8,52486,7000,1600,0,20.0,4.4,68800,0
Kaziranga,Wildlife,Hyderabad,Assam,Northeast,Senior,Flight,Monsoon,4,13860,3900,910,500,15.0,4.6,19740,0
Jim Corbett,Wildlife,Mumbai,Uttarakhand,North,Senior,Bus,Autumn,4,33749,4550,1040,500,5.0,4.6,22860,1
Bikaner,Desert,Ahmedabad,Rajasthan,North,Couple,Train,Autumn,10,42289,3060,850,200,8.0,4.3,39300,1
Sukhna Lake,Nature,Jaipur,Chandigarh,North,Senior,Train,Summer,10,60918,2600,780,0,5.0,4.4,33800,1
Morjim Beach,Beach,Pune,Goa,West,Solo,Flight,Summer,8,31332,2500,700,0,4.0,4.2,25600,1
Hundru Falls,Nature,Ahmedabad,Jharkhand,East,Friends,Car,Summer,3,17543,2600,800,50,5.0,4.3,10250,1
Lakshadweep,Island,Hyderabad,Lakshadweep,South,Senior,Bike,Monsoon,3,37648,6500,1300,500,2.0,4.8,23900,1
Khajjiar,Nature,Chennai,Himachal Pradesh,North,Friends,Train,Autumn,9,39259,3200,900,0,12.0,4.4,36900,1
French Quarter Pondicherry,Heritage,Lucknow,Puducherry,South,Friends,Bus,Monsoon,10,37692,5000,1400,0,3.0,4.5,64000,0
Calangute Beach,Beach,Chennai,Goa,West,Solo,Flight,Autumn,2,7790,3500,900,0,4.0,4.4,8800,0
Akshardham Temple Delhi,Spiritual,Mumbai,Delhi,North,Couple,Bike,Summer,4,30294,3400,1020,0,5.0,4.6,17680,1
Mudumalai,Wildlife,Kolkata,Tamil Nadu,South,Senior,Flight,Autumn,3,19596,3250,845,300,7.0,4.4,12585,1
Harike Wetland,Wildlife,Bangalore,Punjab,North,Senior,Train,Spring,9,34857,1690,520,50,6.0,4.1,19940,1
Bekal,Heritage,Jaipur,Kerala,South,Senior,Train,Winter,5,12932,2600,715,50,8.0,4.3,16625,0
Udaipur,Heritage,Jaipur,Rajasthan,North,Friends,Bike,Monsoon,6,12707,4400,1200,250,8.0,4.6,33850,0
Mawsynram,Nature,Kolkata,Meghalaya,Northeast,Couple,Bus,Summer,6,33269,2380,680,0,17.0,4.4,18360,1
Saranda Forest,Wildlife,Chennai,Jharkhand,East,Family,Bike,Spring,6,54521,3500,1000,100,8.0,4.2,27100,1
Netarhat,Hill Station,Ahmedabad,Jharkhand,East,Friends,Train,Autumn,4,19620,2400,800,0,9.0,4.2,12800,1
Diu Fort,Heritage,Jaipur,Daman & Diu,West,Senior,Bus,Summer,6,18214,2600,715,50,5.0,4.4,19940,0
Tura,Nature,Pune,Meghalaya,Northeast,Senior,Flight,Summer,7,32820,1820,520,0,18.0,4.1,16380,1
Kasol,Nature,Jaipur,Himachal Pradesh,North,Solo,Train,Spring,4,7315,1500,500,0,13.0,4.4,8000,0
Saranda Forest,Wildlife,Bangalore,Jharkhand,East,Friends,Bus,Spring,5,27392,2800,800,100,8.0,4.2,18100,1
Lakshadweep,Island,Bangalore,Lakshadweep,South,Solo,Car,Autumn,8,99235,5000,1000,500,2.0,4.8,48500,1
Horsley Hills,Hill Station,Delhi,Andhra Pradesh,South,Solo,Car,Autumn,2,2558,1500,400,50,7.0,4.1,3850,0
Faridabad,Nature,Ahmedabad,Haryana,North,Family,Flight,Summer,9,31637,3750,1125,50,1.0,3.9,43925,0
Double Decker Root Bridge,Nature,Hyderabad,Meghalaya,Northeast,Family,Bus,Summer,7,55964,3500,1000,0,17.0,4.8,31500,1
Saranda Forest,Wildlife,Pune,Jharkhand,East,Friends,Car,Autumn,5,7792,2800,800,100,8.0,4.2,18100,0
Khajjiar,Nature,Pune,Himachal Pradesh,North,Family,Bus,Monsoon,4,10884,4000,1125,0,12.0,4.4,20500,0
Aurangabad,Heritage,Pune,Maharashtra,West,Friends,Bike,Winter,3,31534,3600,1100,600,6.0,4.5,14700,1
Jallandhar Beach,Beach,Mumbai,Daman & Diu,West,Friends,Bike,Spring,4,8459,4000,1100,0,5.0,4.2,20400,0
Khajjiar,Nature,Mumbai,Himachal Pradesh,North,Solo,Car,Summer,7,8934,1600,450,0,12.0,4.4,14350,0
Kullu,Adventure,Pune,Himachal Pradesh,North,Senior,Bus,Summer,9,52847,2600,715,0,12.0,4.3,29835,1
India Gate,Heritage,Ahmedabad,Delhi,North,Couple,Bus,Spring,5,18699,3400,1020,0,5.0,4.5,22100,0
Pangong Lake,Nature,Lucknow,Ladakh,North,Family,Flight,Summer,4,40192,6250,1500,0,24.0,4.8,31000,1
INS Khukri Memorial,Heritage,Ahmedabad,Daman & Diu,West,Solo,Car,Monsoon,8,41143,2000,550,0,5.0,4.2,20400,1
Harike Wetland,Wildlife,Delhi,Punjab,North,Solo,Train,Autumn,3,10595,1300,400,50,6.0,4.1,5150,1
Shanti Stupa Leh,Spiritual,Hyderabad,Ladakh,North,Senior,Train,Monsoon,6,23763,2340,650,0,23.0,4.6,17940,1
Rose Garden Chandigarh,Nature,Hyderabad,Chandigarh,North,Friends,Train,Monsoon,6,28583,4000,1200,30,5.0,4.3,31230,0
Ukhrul,Hill Station,Delhi,Manipur,Northeast,Senior,Train,Spring,2,3159,1690,520,0,22.0,4.2,4420,0
Androth Island,Heritage,Delhi,Lakshadweep,South,Family,Bike,Winter,7,96472,7500,1875,0,20.0,4.3,65625,1
Nubra Valley,Adventure,Lucknow,Ladakh,North,Couple,Car,Monsoon,10,25488,3400,935,0,24.0,4.7,43350,0
Mahabalipuram,Heritage,Mumbai,Tamil Nadu,South,Friends,Bus,Summer,10,50999,3600,1000,400,6.0,4.5,46400,1
Karimnagar,Heritage,Jaipur,Telangana,South,Family,Bike,Spring,6,45001,3500,1000,50,3.0,4.1,27050,1
Pilak,Heritage,Bangalore,Tripura,Northeast,Solo,Bus,Summer,5,10472,1200,350,50,24.0,4.2,7800,1
INS Khukri Memorial,Heritage,Bangalore,Daman & Diu,West,Senior,Car,Summer,5,11624,2600,715,0,5.0,4.2,16575,0
Chittorgarh,Heritage,Pune,Rajasthan,North,Couple,Bike,Autumn,4,31165,2720,765,250,8.0,4.4,14190,1
Hirwa Van Garden,Nature,Kolkata,Dadra & Nagar Haveli,West,Friends,Flight,Spring,2,4027,3000,900,30,4.0,4.0,7830,0
Tezpur,Heritage,Kolkata,Assam,Northeast,Couple,Bus,Monsoon,9,15713,2550,765,50,15.0,4.2,29885,0
Namchi,Spiritual,Pune,Sikkim,Northeast,Family,Train,Summer,10,58633,4250,1250,50,12.0,4.3,55050,1
Udaipur,Heritage,Delhi,Rajasthan,North,Senior,Flight,Monsoon,10,33069,2860,780,250,8.0,4.6,36650,0
Dwarka,Spiritual,Ahmedabad,Gujarat,West,Senior,Train,Spring,4,7670,1560,520,0,9.0,4.4,8320,0
Konkan Coast,Beach,Jaipur,Maharashtra,West,Solo,Train,Winter,8,9642,2000,600,0,5.0,4.4,20800,0
Hmuifang,Hill Station,Lucknow,Mizoram,Northeast,Senior,Bus,Summer,6,20698,1690,520,50,24.0,4.2,13310,1
Munger,Heritage,Ahmedabad,Bihar,East,Couple,Flight,Summer,4,12168,2040,595,50,12.0,4.0,10590,1
Kerala Backwaters,Nature,Delhi,Kerala,South,Solo,Train,Autumn,7,23083,3000,700,50,10.0,4.7,25950,0
Gurudwara Nada Sahib,Spiritual,Pune,Chandigarh,North,Solo,Flight,Autumn,5,5784,1800,500,0,5.0,4.4,11500,0
Yanam,Heritage,Lucknow,Puducherry,South,Family,Flight,Winter,8,50623,3750,1125,0,6.0,4.0,39000,1
Kavaratti,Beach,Kolkata,Lakshadweep,South,Solo,Train,Summer,3,10762,3500,800,0,20.0,4.4,12900,0
Agatti Island,Beach,Pune,Lakshadweep,South,Couple,Flight,Monsoon,3,18172,6800,1530,0,20.0,4.4,24990,0
Pondicherry,Heritage,Bangalore,Puducherry,South,Family,Car,Summer,3,39035,5000,1500,0,6.0,4.3,19500,1
Khajjiar,Nature,Pune,Himachal Pradesh,North,Solo,Bus,Monsoon,10,31397,1600,450,0,12.0,4.4,20500,1
Mandu,Heritage,Mumbai,Madhya Pradesh,Central,Friends,Train,Autumn,3,14063,2800,800,100,9.0,4.4,10900,1
Nagarjuna Sagar,Nature,Hyderabad,Andhra Pradesh,South,Solo,Flight,Monsoon,7,11285,1500,400,100,5.0,4.2,13400,0
Goa,Beach,Lucknow,Goa,South,Friends,Flight,Monsoon,10,75536,5000,1600,0,5.0,4.2,66000,1
Mawlynnong,Nature,Kolkata,Meghalaya,Northeast,Friends,Bike,Autumn,10,78159,2800,800,0,17.0,4.5,36000,1
Long Island Andaman,Beach,Kolkata,Andaman & Nicobar,South,Couple,Bike,Autumn,4,29144,3400,1020,0,15.0,4.3,17680,1
Bodh Gaya,Spiritual,Delhi,Bihar,East,Senior,Flight,Autumn,6,26086,1560,520,0,10.0,4.6,12480,1
Agatti Island,Beach,Jaipur,Lakshadweep,South,Family,Car,Spring,4,63487,10000,2250,0,20.0,4.7,49000,1
Karimnagar,Heritage,Hyderabad,Telangana,South,Family,Bus,Autumn,2,3899,3500,1000,50,3.0,4.1,9050,0
Mahabalipuram,Heritage,Bangalore,Tamil Nadu,South,Family,Train,Spring,5,44471,4500,1250,400,6.0,4.5,29150,1
Deoghar,Spiritual,Mumbai,Jharkhand,East,Couple,Flight,Monsoon,2,4116,2210,680,0,6.0,4.4,5780,0
Srikalahasti,Spiritual,Lucknow,Andhra Pradesh,South,Couple,Flight,Summer,3,13875,2040,595,100,5.0,4.3,8005,1
Zanskar Valley,Adventure,Mumbai,Ladakh,North,Senior,Car,Summer,7,7888,2340,650,0,28.0,4.8,20930,0
Majuli,Nature,Lucknow,Assam,Northeast,Couple,Bus,Monsoon,7,28776,2040,680,0,16.0,4.3,19040,1
Nohkalikai Falls,Nature,Chennai,Meghalaya,Northeast,Family,Flight,Spring,3,26789,3750,1000,50,17.0,4.7,14300,1
Bandhavgarh,Wildlife,Lucknow,Madhya Pradesh,Central,Family,Train,Summer,9,89634,8750,2000,600,11.0,4.7,97350,0
Mainpat,Hill Station,Ahmedabad,Chhattisgarh,Central,Friends,Car,Summer,10,39533,2600,700,0,10.0,4.2,33000,1
Munnar,Nature,Pune,Kerala,South,Solo,Car,Autumn,9,24681,2500,600,100,6.0,4.5,28000,0
Silvassa,Nature,Jaipur,Dadra & Nagar Haveli,West,Couple,Bike,Summer,3,14166,3060,850,0,4.0,4.0,11730,1
Kamalasagar,Spiritual,Chennai,Tripura,Northeast,Solo,Flight,Monsoon,10,19630,1200,350,0,22.0,4.1,15500,1
Dzukou Valley,Nature,Lucknow,Nagaland,Northeast,Friends,Train,Monsoon,8,55322,2800,800,100,22.0,4.8,28900,1
Zuluk,Adventure,Kolkata,Sikkim,Northeast,Couple,Car,Winter,9,34470,2720,765,0,13.0,4.5,31365,1
Badami,Heritage,Ahmedabad,Karnataka,South,Senior,Bike,Autumn,4,4352,1560,520,200,7.0,4.3,8520,0
Haridwar,Spiritual,Mumbai,Uttarakhand,North,Solo,Bike,Winter,7,11041,1300,420,0,6.0,4.4,12040,0
Palamu Fort,Heritage,Bangalore,Jharkhand,East,Senior,Train,Monsoon,7,9660,1690,520,50,6.0,4.1,15520,0
Ludhiana,City,Lucknow,Punjab,North,Couple,Flight,Spring,4,10310,2720,850,50,5.0,3.9,14330,0
Pench National Park,Wildlife,Chennai,Madhya Pradesh,Central,Senior,Bike,Spring,5,11239,3900,910,400,10.0,4.5,24450,0
Mokokchung,Heritage,Chennai,Nagaland,Northeast,Family,Train,Spring,8,41769,3500,1000,0,22.0,4.2,36000,1
Sarnath,Heritage,Delhi,Uttar Pradesh,North,Solo,Car,Winter,4,18289,1600,450,200,8.0,4.5,8400,1
Konark,Heritage,Jaipur,Odisha,East,Friends,Flight,Spring,6,31791,2400,800,500,10.0,4.6,19700,1
Jamshedpur,City,Lucknow,Jharkhand,East,Senior,Bus,Autumn,8,35596,1950,585,0,7.0,4.0,20280,1
Tawang,Hill Station,Kolkata,Arunachal Pradesh,Northeast,Couple,Train,Winter,10,74011,3060,850,100,20.0,4.7,39200,1
Tso Moriri,Nature,Delhi,Ladakh,North,Couple,Bus,Monsoon,10,46971,3400,935,0,24.0,4.7,43350,1
Ross Island,Heritage,Chennai,Andaman & Nicobar,South,Solo,Bus,Autumn,2,5352,2500,700,150,14.0,4.3,6550,0
Pachmarhi,Hill Station,Lucknow,Madhya Pradesh,Central,Solo,Train,Monsoon,4,8591,1800,500,100,9.0,4.4,9300,0
Gurudwara Nada Sahib,Spiritual,Kolkata,Chandigarh,North,Solo,Train,Winter,2,8489,1800,500,0,5.0,4.4,4600,1
Old Goa Churches,Heritage,Chennai,Goa,West,Friends,Flight,Monsoon,5,9590,4000,1200,0,4.0,4.5,26000,0
Panhala Fort,Heritage,Delhi,Maharashtra,West,Solo,Car,Spring,7,20374,1500,450,50,6.0,4.2,13700,1
Dudhwa National Park,Wildlife,Chennai,Uttar Pradesh,North,Senior,Car,Winter,6,13540,2600,715,300,8.0,4.4,20190,0
Jaisalmer,Desert,Delhi,Rajasthan,North,Friends,Flight,Summer,6,49683,4000,1100,250,9.0,4.6,30850,1
Somnath,Spiritual,Ahmedabad,Gujarat,West,Friends,Flight,Autumn,8,34578,3000,800,0,6.0,4.6,30400,1
Gurudwara Nada Sahib,Spiritual,Mumbai,Chandigarh,North,Senior,Bus,Winter,9,44054,2340,650,0,5.0,4.4,26910,1
St Paul's Church Diu,Heritage,Lucknow,Daman & Diu,West,Solo,Train,Autumn,10,47934,2000,550,0,5.0,4.3,25500,1
Mokokchung,Heritage,Kolkata,Nagaland,Northeast,Senior,Bus,Winter,4,19698,1820,520,0,22.0,4.2,9360,1
Konkan Coast,Beach,Jaipur,Maharashtra,West,Senior,Train,Monsoon,10,18749,2600,780,0,5.0,4.1,33800,0
Kaluk,Hill Station,Delhi,Sikkim,Northeast,Friends,Bus,Winter,2,16745,3000,900,0,13.0,4.3,7800,1
Warangal,Heritage,Ahmedabad,Telangana,South,Senior,Flight,Summer,3,7821,1560,520,150,3.0,4.2,6390,1
Chandni Chowk,Heritage,Chennai,Delhi,North,Friends,Bus,Summer,6,65700,4000,1200,0,5.0,4.3,31200,1
Sonamarg,Nature,Chennai,Jammu & Kashmir,North,Family,Bike,Autumn,3,12837,6250,1625,0,13.0,4.6,23625,0
Hemis National Park,Wildlife,Jaipur,Ladakh,North,Solo,Car,Monsoon,2,3316,2000,550,200,24.0,4.5,5300,0
Agartala,Heritage,Pune,Tripura,Northeast,Solo,Bike,Winter,5,10289,1400,420,100,20.0,4.0,9200,1
Kanyakumari,Spiritual,Bangalore,Tamil Nadu,South,Solo,Car,Winter,9,7433,1500,450,100,10.0,4.4,17650,0
Thanjavur,Heritage,Jaipur,Tamil Nadu,South,Senior,Bus,Spring,6,8508,1950,585,250,8.0,4.4,15460,0
Loktak Lake,Nature,Bangalore,Manipur,Northeast,Senior,Flight,Spring,7,30933,1820,520,100,21.0,4.4,16480,1
Rishikesh,Adventure,Kolkata,Uttarakhand,North,Family,Train,Monsoon,3,5800,3750,1250,0,7.0,4.5,15000,0
Panipat,Heritage,Jaipur,Haryana,North,Friends,Bike,Monsoon,8,22296,2600,800,50,2.0,4.0,27250,0
Champhai,Nature,Ahmedabad,Mizoram,Northeast,Solo,Bus,Monsoon,6,12188,1300,400,0,25.0,4.3,10200,1
Hyderabad,Heritage,Lucknow,Telangana,South,Couple,Bike,Autumn,4,27145,3400,1020,100,5.0,4.3,17780,1
Silvassa,Nature,Delhi,Dadra & Nagar Haveli,West,Couple,Car,Summer,10,59101,3060,850,0,4.0,4.0,39100,1
Bomdila,Hill Station,Kolkata,Arunachal Pradesh,Northeast,Solo,Car,Monsoon,9,37526,1500,400,0,16.0,4.2,17100,1
Leh Ladakh,Adventure,Lucknow,Ladakh,North,Solo,Bus,Winter,9,24746,3500,700,200,20.0,4.8,38000,0
Swaminarayan Temple Silvassa,Spiritual,Kolkata,Dadra & Nagar Haveli,West,Senior,Bus,Winter,8,14149,1950,520,0,4.0,4.1,19760,0
Rishikesh,Adventure,Jaipur,Uttarakhand,North,Senior,Train,Winter,5,9746,1950,650,0,7.0,4.5,13000,0
Ravangla,Nature,Pune,Sikkim,Northeast,Solo,Flight,Summer,9,41746,1700,450,50,12.0,4.4,19400,1
Bhaderwah,Hill Station,Delhi,Jammu & Kashmir,North,Senior,Flight,Summer,7,40412,2340,650,0,12.0,4.5,20930,1
Devka Beach Daman,Beach,Kolkata,Daman & Diu,West,Friends,Train,Spring,2,7357,3600,1000,0,4.0,4.1,9200,0
Dalhousie,Hill Station,Delhi,Himachal Pradesh,North,Family,Bus,Winter,5,60787,4500,1250,0,11.0,4.3,28750,1
Amini Island,Beach,Kolkata,Lakshadweep,South,Senior,Bus,Autumn,10,59048,3900,975,0,20.0,4.3,48750,1
Zanskar Valley,Adventure,Pune,Ladakh,North,Solo,Car,Monsoon,9,35724,1800,500,0,28.0,4.8,20700,1
Munger,Heritage,Chennai,Bihar,East,Friends,Flight,Winter,3,13876,2400,700,50,12.0,4.0,9350,1
Gokarna,Beach,Hyderabad,Karnataka,South,Family,Bus,Monsoon,9,34754,3750,1125,0,7.0,4.1,43875,0
Dumboor Lake,Nature,Delhi,Tripura,Northeast,Friends,Train,Summer,6,32663,2600,800,0,23.0,4.3,20400,1
Lakshadweep,Island,Hyderabad,Lakshadweep,South,Couple,Car,Monsoon,8,93161,8500,1700,500,2.0,4.8,82100,1
Nubra Valley,Adventure,Delhi,Ladakh,North,Couple,Bus,Monsoon,3,23652,3400,935,0,24.0,4.7,13005,1
Baratang Island,Nature,Jaipur,Andaman & Nicobar,South,Family,Train,Monsoon,9,30113,5000,1500,0,14.0,4.4,58500,0
Paradise Beach Pondicherry,Beach,Mumbai,Puducherry,South,Senior,Bike,Monsoon,8,29027,2600,780,150,3.0,4.1,27190,1
Jammu,Spiritual,Delhi,Jammu & Kashmir,North,Family,Train,Winter,3,35656,4500,1250,0,11.0,4.2,17250,1
Anandpur Sahib,Spiritual,Chennai,Punjab,North,Family,Car,Autumn,10,18243,3250,1000,0,7.0,4.5,42500,0
Vantawng Falls,Nature,Hyderabad,Mizoram,Northeast,Couple,Car,Winter,6,35014,2210,680,50,25.0,4.5,17390,1
Gwalior,Heritage,Bangalore,Madhya Pradesh,Central,Friends,Train,Autumn,7,54560,3200,900,250,8.0,4.3,28950,1
Balpakram National Park,Wildlife,Kolkata,Meghalaya,Northeast,Family,Train,Spring,5,15552,3750,1000,200,18.0,4.3,23950,0
Trishna Wildlife Sanctuary,Wildlife,Kolkata,Tripura,Northeast,Solo,Bus,Winter,4,12384,1300,400,100,23.0,4.2,6900,1
Kodaikanal,Hill Station,Mumbai,Tamil Nadu,South,Solo,Flight,Autumn,5,10781,2000,550,50,7.0,4.3,12800,0
Nainital,Hill Station,Jaipur,Uttarakhand,North,Friends,Bus,Winter,8,59011,4000,1160,50,8.0,4.4,41330,1
Mathura Vrindavan,Spiritual,Kolkata,Uttar Pradesh,North,Senior,Bus,Monsoon,5,3797,1560,520,0,4.0,4.3,10400,0
Vikramshila,Heritage,Ahmedabad,Bihar,East,Solo,Bus,Monsoon,10,30303,1100,300,50,13.0,4.1,14050,1
Gulmarg,Adventure,Lucknow,Jammu & Kashmir,North,Couple,Car,Summer,8,103199,5950,1360,500,14.0,4.7,58980,1
Hemis National Park,Wildlife,Mumbai,Ladakh,North,Senior,Car,Winter,5,36470,2600,715,200,24.0,4.5,16775,1
Palak Dil,Nature,Lucknow,Mizoram,Northeast,Couple,Train,Autumn,4,17792,2210,680,50,26.0,4.3,11610,1
Jaisalmer,Desert,Mumbai,Rajasthan,North,Solo,Car,Summer,8,17924,2000,550,250,9.0,4.6,20650,0
Vanganga Lake Garden,Nature,Chennai,Dadra & Nagar Haveli,West,Senior,Bike,Autumn,5,21314,2080,585,50,4.0,4.1,13375,1
Zanskar Valley,Adventure,Ahmedabad,Ladakh,North,Couple,Bus,Winter,9,65931,3060,850,0,28.0,4.8,35190,1
Jowai,Nature,Chennai,Meghalaya,Northeast,Couple,Bike,Spring,7,17486,2380,680,0,17.0,4.2,21420,0
Agartala,Heritage,Lucknow,Tripura,Northeast,Solo,Bus,Monsoon,6,9777,1400,420,100,20.0,4.0,11020,0
Barnawapara,Wildlife,Kolkata,Chhattisgarh,Central,Couple,Car,Spring,3,11970,2380,680,200,9.0,4.2,9380,1
Mawsynram,Nature,Kolkata,Meghalaya,Northeast,Solo,Car,Autumn,10,6505,1400,400,0,17.0,4.4,18000,0
Cooch Behar,Heritage,Chennai,West Bengal,East,Solo,Bike,Monsoon,9,6063,1400,400,50,7.0,4.2,16250,0
Hyderabad,Heritage,Hyderabad,Telangana,South,Couple,Flight,Spring,7,23981,3400,1020,100,5.0,4.3,31040,0
Mount Abu,Hill Station,Mumbai,Rajasthan,North,Friends,Car,Monsoon,9,16638,3600,1040,50,8.0,4.2,41810,0
Jamshedpur,City,Bangalore,Jharkhand,East,Senior,Flight,Autumn,6,10746,1950,585,0,7.0,4.0,15210,0
Ramappa Temple,Heritage,Hyderabad,Telangana,South,Solo,Bike,Summer,9,26909,1400,400,200,4.0,4.5,16400,1
Jampui Hills,Hill Station,Chennai,Tripura,Northeast,Family,Car,Summer,5,40564,3250,1000,0,24.0,4.4,21250,1
